Informazioni cronologiche,Sesso,Quanti anni compi nell'anno corrente 2025?,Qual è l'ultimo titolo di studi che hai conseguito?,Hai mai frequentato un corso universitario o accademico che trattava anche solo in parte di storia medievale?,Regione,Provincia (sigla),Con quali modalità ti informi sul medioevo?,Qual è la tua opinione generale sul medioevo? [Medioevo],Indica la data o il secolo in cui secondo te inizia il medioevo,Perché? Inizio,Indica la data o il secolo in cui secondo te finisce il medioevo,Perché?  Fine, [Feudalesimo],[Superstizione],[Germanico],[Eroico],[Comunale],[Sperimentazione],[Cristiano],[Oscurantismo],[Rinascita],[Decadenza],Quali di questi termini associ più fortemente con la tua idea di medioevo? (Max 5 risposte),[Federico II di Svevia],[Teodorico],[Lorenzo il Magnifico],[Costantino],[Petrarca],[Dante],[Enrico VIII Tudor],[Francesco Hayez],[Leonardo da Vinci],[Martin Lutero],[Giustiniano],[Giotto],[San Francesco],[Sant’Agostino d’Ippona],[Giovanna d’Arco],[Matilde di Canossa],[Carlo Magno],[Riccardo Cuor di Leone],[San Tommaso d’Aquino],[Beato Angelico],Se volessi aggiungere un tuo commento facoltativo su cosa pensi sia il medioevo
28/03/2025 0.15.35,Donna,20-29,Diploma di istruzione liceale,Sì,Lombardia,MB,"Libri, Serie TV, Documentari",Parzialmente positiva,Dopo il 476,Perchè c’è la caduta di roma,1492,Scoperta dell’America,5,5,4,4,1,1,5,4,1,3,"Aratro, Caccia alle streghe, Vassalli, Invenzione della stampa, Stato pontificio","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",È un periodo molto interessante e largamente sottovalutato dall’opinione pubblica. 
28/03/2025 0.47.56,Uomo,20-29,Licenza media,No,Lombardia,mb,"Libri, Videogiochi, Serie TV, Giochi di ruolo",Parzialmente positiva,500,Fine dell'impero romano d'occidente,1492,Scoperta delle Americhe,5,5,2,4,3,3,5,3,3,5,"Crociate, Invasioni Barbariche, Stato pontificio, Aratro, Scoperta dell’America",Non conosco il personaggio,Non conosco il personaggio,Non conosco il personaggio,"No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,"No, non è medievale","No, non è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,Non conosco il personaggio,
28/03/2025 7.21.21,Donna,20-29,Laurea triennale,No,Lombardia,MB,"Podcast, Video di YouTube ",Parzialmente positiva,476,"Cade l'impero Romano d'Occidente, dando inizio a una nuova fase nella storia del continente europeo ",XV secolo,"Il XV secolo è un periodo di scoperte che culmina con la ""scoperta"" del continente Americano aprendo così un nuovo capitolo della storia",5,5,3,4,4,4,5,4,4,3,"Stato pontificio, Caccia alle streghe, Repubbliche Marinare, Peste",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,
28/03/2025 8.07.10,Donna,18-19,Diploma di istruzione liceale,No,Lombardia,CO,Mia sorella,Neutrale,1200,,1500,,4,4,3,1,1,3,2,3,1,3,"Vassalli, Caccia alle streghe, Peste, Invasioni Barbariche, Crociate","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,
28/03/2025 9.35.20,Donna,20-29,Diploma di istruzione liceale,No,Lombardia,VA,"Libri, Serie TV",Neutrale,1100,,1300,La scoperta dell'America,3,4,3,2,3,3,4,4,2,3,"Vassalli, Peste, Crociate, Stato pontificio, Caccia alle streghe","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale",Non conosco il personaggio,"Sì, è medievale",Non conosco il personaggio,"No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,
28/03/2025 9.55.10,Donna,20-29,Diploma di istruzione liceale,No,Lombardia,BG,Non mi informo,Parzialmente positiva,456 d.C.,Caduta dell'Impero Romano d'Oriente,1472 d.C.,Scoperta del continente americano da parte di Colombo,5,5,1,3,4,3,2,4,1,3,"Vassalli, Invasioni Barbariche, Crociate, Normanni, Caccia alle streghe","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,
28/03/2025 9.55.46,Donna,20-29,Diploma di istruzione liceale,No,Lombardia,Bergamo ,Non mi informo,Neutrale,476,La caduta di roma ,1492,Scoperta dall’America ,4,5,2,2,3,4,3,3,3,1,"Vassalli, Aratro, Crociate, Normanni","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,
28/03/2025 9.55.54,Donna,20-29,Diploma di istruzione liceale,No,Lombardia,BG,Non mi informo,Parzialmente positiva,456 d.C.,Caduta impero romano,1472 d.c.,Scoperta dell'america,3,2,2,1,3,3,2,2,2,1,"Vassalli, Invasioni Barbariche, Normanni, Crociate","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,
28/03/2025 9.58.01,Donna,20-29,Diploma di istruzione liceale,Sì,Lombardia,BG,"Libri, Non mi informo",Neutrale,475,Fine Impero Romano,1492,Scoperta America,3,5,3,3,1,1,5,5,1,4,"Stato pontificio, Caccia alle streghe, Vassalli, Peste, Aratro",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,Lungo periodo di transizione
28/03/2025 9.58.25,Donna,20-29,Diploma di istruzione liceale,Sì,Liguria,IM,"Libri, Serie TV",Parzialmente negativa,V secolo d.C ,Dopo la caduta dell'Impero romano d'Occidente,1492,Con la scoperta del continente americano,5,5,3,5,4,2,5,4,2,3,"Aratro, Vassalli, Normanni, Caccia alle streghe, Peste","Sì, è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale","Sì, è medievale","No, non è medievale","No, non è medievale","Sì, è medievale","Sì, è medievale",Non conosco il personaggio,"Sì, è medievale","Sì, è medievale","Sì, è medievale","Sì, è medievale","No, non è medievale",Non conosco il personaggio,
