sesso,eta,titolo_studio,regione,corso_medievale,opinione_medioevo,eta_num,titolo_studio_num,opinione_num,corso_num,data_inizio,anno_inizio,cluster_inizio,motivo_inizio_cat,data_fine,anno_fine,cluster_fine,motivo_fine_cat,durata_medioevo,termini_associati,commento_aperto,sentiment_score,sentiment_class
Donna,20-29,Diploma di istruzione liceale,Lombardia,Sì,Parzialmente positiva,24.5,5,4,1,Dopo il 476,476.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1016.0,"Aratro, Caccia alle streghe, Vassalli, Invenzione della stampa, Stato pontificio",È un periodo molto interessante e largamente sottovalutato dall’opinione pubblica. ,1.0,Positivo
Uomo,20-29,Licenza media,Lombardia,No,Parzialmente positiva,24.5,2,4,0,500,500.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,992.0,"Crociate, Invasioni Barbariche, Stato pontificio, Aratro, Scoperta dell’America",,,Neutrale/Misto
Donna,20-29,Laurea triennale,Lombardia,No,Parzialmente positiva,24.5,6,4,0,476,476.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,XV secolo,1450.0,1400-1453 (Caduta Costantinopoli),Scoperta America,974.0,"Stato pontificio, Caccia alle streghe, Repubbliche Marinare, Peste",,,Neutrale/Misto
Donna,18-19,Diploma di istruzione liceale,Lombardia,No,Neutrale,18.5,5,3,0,1200,1200.0,1000+ (Basso Medioevo),Non specificato,1500,1500.0,1493-1517 (Riforma protestante),Non specificato,300.0,"Vassalli, Caccia alle streghe, Peste, Invasioni Barbariche, Crociate",,,Neutrale/Misto
Donna,20-29,Diploma di istruzione liceale,Lombardia,No,Neutrale,24.5,5,3,0,1100,1100.0,1000+ (Basso Medioevo),Non specificato,1300,1300.0,Pre-1400 (Fine anticipata),Scoperta America,200.0,"Vassalli, Peste, Crociate, Stato pontificio, Caccia alle streghe",,,Neutrale/Misto
Donna,20-29,Diploma di istruzione liceale,Lombardia,No,Parzialmente positiva,24.5,5,4,0,456 d.C.,456.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1472 d.C.,1472.0,1454-1492 (Scoperta America),Scoperta America,1016.0,"Vassalli, Invasioni Barbariche, Crociate, Normanni, Caccia alle streghe",,,Neutrale/Misto
Donna,20-29,Diploma di istruzione liceale,Lombardia,No,Neutrale,24.5,5,3,0,476,476.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1016.0,"Vassalli, Aratro, Crociate, Normanni",,,Neutrale/Misto
Donna,20-29,Diploma di istruzione liceale,Lombardia,No,Parzialmente positiva,24.5,5,4,0,456 d.C.,456.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1472 d.c.,1472.0,1454-1492 (Scoperta America),Scoperta America,1016.0,"Vassalli, Invasioni Barbariche, Normanni, Crociate",,,Neutrale/Misto
Donna,20-29,Diploma di istruzione liceale,Lombardia,Sì,Neutrale,24.5,5,3,1,475,475.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1017.0,"Stato pontificio, Caccia alle streghe, Vassalli, Peste, Aratro",Lungo periodo di transizione,0.0,Neutrale/Misto
Donna,20-29,Diploma di istruzione liceale,Liguria,Sì,Parzialmente negativa,24.5,5,2,1,V secolo d.C ,450.0,476-500 (Caduta Impero Romano Occ.),Caduta Roma,1492,1492.0,1454-1492 (Scoperta America),Scoperta America,1042.0,"Aratro, Vassalli, Normanni, Caccia alle streghe, Peste",,,Neutrale/Misto
